"LocationName","Address","City","State","Zip","Description","Website","Phone","lat","lng"
"Eastie Farm","6 Chelsea Terrace","Boston","MA","02108","CSA location #1: 6 Chelsea Terrace, Boston, MA 02128
Pickup times: 
Wednesdays 4-7 pm
Thursdays 9 am-12 pm
Fridays1-4:30 pm

CSA location #2: 294 Sumner Street, Boston, 9am-12 pm
","eastiefarm.com/","(617) 419-0787","42.352851","-71.065004"
"Farmer Dave's - CSA Pick-Up","16 Garfield Ave.","Somerville","MA","02145","CSA Pick-up Days: Wednesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.356265","-71.05092"
"Brookfield Farm - CSA Pick-Up","175 Richdale Ave.","Cambridge","MA","02140","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991","42.368078","-71.064698"
"Red Fire Farm - CSA Pick-Up","328 Broadway","Somerville","MA","02145","CSA Pick-up Location: Winter Hill Brewing. CSA Pick-up Days: Wednesday, Starting in June.","www.redfirefarm.com/CSA/join.html","","42.335339","-71.086926"
"Newton Farmers Market","1189 Beacon Street","Newton","MA","02468","Cold Spring Park; Dates & Times: June 17 to October 28; Tuesday, 1:30 pm - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.newtonma.gov/government/parks-recreation-culture/recreation-programs/farmers-market","","42.348583","-71.051072"
"Andrew Thomas & Sons","1237 Randolph Avenue","Milton","MA","02186","Full Service Nursery and Garden Center.","www.athomasandsons.com/","(617) 698-3348","42.35679","-71.055085"
"Brookfield Farm - CSA Pick-Up","20 Park Place","Newton","MA","02460","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991","42.339292","-71.074476"
"The Thayer Nursery Corp.","270 Hillside Street","Milton","MA","02186","6 acre family owned full service garden center. Stroll our fields where you will find a fantastic display of locally grown plant material, including annuals, perennials, shrubs and trees. Offer a complete selection of organic products including mulches, composts, and soil amendments that promote sustainable land care practices.","www.thayernursery.com","(617) 698-2005","42.309128","-71.077704"
"Somerville/Assembly Row Farmers Market","355 Assembly Row","Somerville","MA","02143","Between Shake Shack and Café Nerro; Dates and Time: Friday, 3:00 pm - 7:00 pm, June 12 to October 9; EBT-SNAP Accepted. No market 7/3. ","www.assemblyrow.com/event/farmers-market/","","42.356048","-71.142966"
"Cabot's Ice Cream and Restaurant","743 Washington Street","Newton","MA","02456","","www.cabots.com","(617) 964-9200","42.327336","-71.078253"
"World Peas CSA Pick-Up","Pemberton Farms Marketplace, 2235 Massachusetts Ave.","Cambridge","MA","02140","CSA Pick-Up Location: 2235 Massachusetts Ave. ","www.nesfp.org/NewEntryCSA","","42.316451","-71.093826"
"Watertown Farmers Market","Saltonstall Park next to Town Hall, 149 Main Street","Watertown","MA","02472","Dates & Times: June 11 to October 22; Wednesday, 2:30 pm - 6:30 pm; Market closes as 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.watertownmarket.com","","42.355849","-71.116568"
"Little Luke's Cafe","1225 Chestnut Street ","Newton","MA","02456","","www.littlelukescafe.com","(617) 244-3424","42.358393","-71.116489"
"Newtonville","352 Lowell Ave. ","Newton","MA","02460","Dates & Time: June 21 to October 25; Saturday, 9:30 am - 12:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","www.newtonma.gov/government/parks-recreation-culture/recreation-programs/farmers-market","","42.326458","-71.080799"
"Somerville/Davis Square Farmers Market","Day & Herbert St-Davis Square","Somerville","MA","02144","Dates & Time: May 20 to November 25; Wednesday, Noon - 6:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.

","www.massfarmersmarkets.org","","42.370165","-71.031613"
"Somerville Mobile Market","25 Memorial Road","Somerville","MA","02145","Mystic Housing: Dates & Time: July 10 to November 1; Saturday, 10:00 am - 12:00 pm.
","www.somervillemobilefarmersmarket.wordpress.com/","() -","42.280523","-71.093812"
"Red Fire Farm - CSA Pick-Up","297 Lowell Ave.","Newton","MA","02460","CSA Pick-up Location: St. John's Episcopal Church. CSA Pick-up Days: Thursday, Starting in June.","www.redfirefarm.com/CSA/join.html","413-467-7645","42.337523","-71.058648"
"Belmont Acres Farm","34 Glenn Road","Belmont","MA","02478","5-acre, family-run farm. Committed to growing the freshest and most diverse produce with sustainable methods, emphasizing disease resistant cultivars and a critical application of organic methods. ","www.belmontacresfarm.com/","(781) 507-6602","42.277071","-71.084749"
"Somerville Mobile Market","167 Holland Street","Somerville","MA","02143","Dates & Time: July 10 to November 1; Friday, 10:30 am-12:30 pm.","www.somervillemobilefarmersmarket.wordpress.com/","() -","42.274265","-71.092069"
"Farmer Tim's Vegetables","130 Concord Ave.","Belmont","MA","02478","Saturday & Sunday 2:00 pm - 7:00 pm 
Farmer Tim's currently has about 6.5 acres in mixed vegetable production.","www.farmertims.com/csa","(857) 334-3121","42.354971","-71.144926"
"Quincy Kilroy Square Farmers Market","25 Cottage Ave. ","QUINCY","MA","02169","Dates & Time: Mid June to October 30; Kilroy Square, Friday, 12:00 pm - 4:00 pm; EBT-SNAP accepted with select vendors only. 
 ","","","42.361485","-71.071287"
"Somerville Mobile Market","1372 Broadway","Somerville","MA","02144","Dates & Time: July 10 to November 1; Thursday, 4:00 pm - 6:00 pm.
","somervillemobilefarmersmarket.wordpress.com/","() -","42.345602","-71.072712"
"Brookwood Community Farm","11 Blue Hill River Road","Canton","MA","02021","Farm uses organic methods on 5 acres of revitalized farm land, providing on-farm educational and community-building opportunities, and actively supporting food access projects. Check website for hours. Coupons are accepted Tuesdays & Thursdays 2 pm - 6:30 pm and Saturdays 9 am - 1 pm.  


","www.brookwoodcommunityfarm.org","(857) 345-5528","42.363634","-71.030388"
"Medford Winter Farmers Market","142 Mystic Ave. ","Medford","MA","02155","The Great American Beer Hall; Dates and Time: Tuesday, 3:00 pm - 7:00 pm; January 13 to April 14, No market 3/17; EBT-SNAP Accepted. ","www.medfordfarmersmarket.org","","42.344637","-71.040395"
"Belmont Farmers Market","Cross St. & Channing Rd.-Belmont Center Municipal Parking Lot","Belmont","MA","02478","Dates & Times: June 4 to October 29; Thursday, 2:00 pm - 6:30 pm, Closes at 6:00 pm in October; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.belmontfarmersmarket.org","","42.329284","-71.092601"
"Needham Farmers' Market","1471 Highland Ave.","Needham","MA","02492","Town Common; Dates & Time: June 16 to October 27; Sunday, 11:00 am - 3:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP accepted.","www.needhamfarmersmarket.org","","42.352863","-71.137932"
"Gore Place","52 Gore Street","Waltham","MA","02453","It has 45 acres of gardens, lawns, fields and farmland with a small farm site with historic breeds of sheep and poultry. Visitors can view the animals and tour the mansion. Annual Sheepshearing Festival in April.","www.Goreplace.org","(781) 894-2798","42.323195","-71.088594"
"Brookfield Farm - CSA Pick-Up","107 Grafton St.","Arlington","MA","02474","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991","42.286838","-71.097476"
"Capen Street Farm","75 Capen St.","Medford","MA","02153","Operate a diversified vegetable farm but everything grown is for the neighbors in Medford Hillside and West Somerville. Seek to enliven the neighborhood through fresh, nutrient-dense produce, festive weekly pickups, summer jobs for local teens and community-wide composting -- and chronicle all of this real-time on the website. 
","ploughandstarsproject.com","(617) 852-4109","42.284588","-71.100163"
"Harlequin Stables","215 High Street","Westwood","MA","02090","Harlequin offers beginner to advanced riding lessons, balance seat, Hunter/Jumper, Dressage and summer camp.","www.horses.harlequinstables.com","(781) 407-0373","42.377146","-71.030844"
"Everett Community Growers","548 Broadway ","Everett","MA","02149","Everett Community Growers (ECG) is a program of the Everett Community Health Partnership (ECHP), working to improve health outcomes and increase civic engagement among Everett residents through urban agriculture and other food justice initiatives.
Saturday 9 am- 12 pm, Wednesday Farm Pick-ups 3 pm- 6 pm.
FMNP Coupons accepted 2nd Wednesday of the month 4:30 pm - 6:30 pm.
Accept: P-EBT, SNAP/ HIP, Card, and Cash
","everettcommunitygrowers.org/","","42.353182","-71.065478"
"Winthrop Farmers Market","Ingleside Park ","Winthrop","MA","02152","Dates & Time: June 22 to September 14; Sunday, 9:00 am - 1:00 pm. No market 8/31.","www.winthropfarmersmarket.com","","42.356177","-71.064696"
"Colleen's Ice Cream and Sandwich Shop","61 High Street","Medford","MA","02153","","www.colleensmedford.com","(781) 395-8100","42.353933","-71.067155"
"World Peas CSA Pick-Up","Condon Shell","Medford","MA","02153","CSA Pick-up Location: Condon Shell, Mystic Valley Parkway. ","www.nesfp.org/NewEntryCSA","","42.360243","-71.128626"
"Volante Farms","292 Forest Street","Needham","MA","02492","Homegrown USDA certified organic produce, garden center/nursery, annuals, perennials, shrubs, full-service deli, farm kitchen, prepared foods, lunch specials, pastry kitchen, bakery, cafe, local coffee, year-round ice cream stand with local ice cream. Offer many free events - tasting events, wine and beer tastings, free food festivals, free concerts in the summer, walking farm tours.","www.Volantefarms.com","(781) 444-2351","42.367275","-71.113703"
"Pakeen Farm","109 Elm St.","Canton","MA","02021","Multi-farm vegetable and fruit CSA. In fall, pumpkins, cider, apples and doughnuts, and in the winter, offer choose & cut Christmas trees, freshly cut Christmas trees and holiday decorations.

CSA Products offered: Vegetables
Pickup(s): On Farm ","www.pakeenfarm.com","(781) 828-0111","42.304677","-71.072524"
"Medford Farmers Market","2501 Mystic Valley Parkway-Condon Shell","Medford","MA","02155","Dates & Time: June 4 to October 15; Thursday, 3:00 pm - 7:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.medfordfarmersmarket.org","","42.348504","-71.057232"
"Waltham Fields Community Farm","240 Beaver Street","Waltham","MA","02451","Open June - October, Waltham Fields Community Farm (WFCF) is a nonprofit agricultural organization that sustainably stewards agricultural land, providing its harvests and educational programming to local and Greater Boston communities. WFCF’s agricultural operations include a Community Supported Agriculture (CSA) program, Barn Store, and education and volunteering programs. 

Subsidized CSA shares are available. For details, go to https://communityfarms.org/csa/csa-overview.

Barn Store hours: Wednesday - Friday 2:30 pm - 6:30 pm, Saturday 9:00 am - 2:30 pm.  

","www.communityfarms.org","(781) 899-2403","42.335456","-71.089507"
"Arlington Farmers Market","Massachusetts Ave & Pleasant St-Russell Common Parking Lot","Arlington","MA","02474","Dates & Time: June 4 to October 29; Wednesday, 2:00 pm - 6:30 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted with select vendors only. 

","www.farmersmarketarlington.org","","42.324947","-71.093076"
"Farmer Dave's - CSA Pick-Up","195 Canal St","Malden","MA","02148","CSA Pick-up Days: Wednesday, Starting in June.","farmerdaves.csaware.com/store/","978-349-1952","42.363625","-71.11753"
"Lizzy's Homemade Ice Cream","367 Moody St","Waltham","MA","02451","Second-generation, classic homemade ice cream parlor located in Waltham, MA, with another location in Harvard Sq., Cambridge. Make a variety of products homemade including, the ice cream, hot fudge, waffle bowls, pastries and other trending items. ","www.lizzysicecream.com","(781) 893-6677","42.359689","-71.120305"
"Snug Harbor Farmstand","O'Brien Towers, 73 Bicknell Street","QUINCY","MA","02169","Dates and Time: Wednesday, 1:00 pm - 6:00 pm, July to Fall.","","","42.336367","-71.08632"
"The Bean Family Farm ","711 Clapboardtree Street ","Westwood","MA","02090","Premier source for farm fresh produce, meat, pumpkin, and Christmas products. Stand open June through Christmas selling all of our farms products as well as other locally sourced agricultural products for both retail as well as wholesale. Large autumn display with beautiful pumpkins, squashes, and apples among other fall items. Sell fresh cut Christmas trees of all sizes, wreaths and many other holiday decorations. ","https://www.beanfamilyfarm.com/","(781) 223-3604","42.36848","-71.035779"
"Waltham Fields Community Farm Mobile Market","50 Church Street","Waltham","MA","02451","First Parish Church, 50 Church St.; Dates and Time: Tuesday, 4:30 pm - 6:30 pm; July to October; WIC & Senior Coupons Accepted. ","www.communityfarms.org","","42.367953","-71.051691"
"Waltham Farmers Market","65 Lexington Street","Waltham","MA","02453","Dates & Time: June 6 to October 31; Saturday, 9:30 am - 2:00 pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.



 ","www.walthamfarmersmarket.org","","42.324368","-71.090223"
"Belmont Bee Company","19 Greensboro Way","Belmont","MA","02478","At the Belmont Bee Company, our focus is on the watchful care of our bees as they work busily to produce one of the most amazing, all-natural, and delicious products on earth.","www.belmontbeecompany.com","(201) 213-9788","42.340191","-71.048052"
"Malden Farmers Market","City Hall Plaza","Malden","MA","02148","Dates and Time: July 2 to September 24; Wednesday, 3:00 pm - 7:00 pm. ","www.maplewood-events.com/farmersmarket","","42.317929","-71.078572"
"New Entry Mobile Market","45 Dolphin Ave. ","Revere","MA","02151","Dates and Time: Thursday, 1:00 pm - 2:00 pm, June 12 to October 30. ","nesfp.org","(978) 654-6745","42.350658","-71.047291"
"Braintree Farmers Market","1 John F Kennedy Memorial Dr.-Town Hall Mall","Braintree","MA","02184","Dates & Time: June 14 to October 11; Saturday, 9:00 am - 1:00 pm; WIC & Senior Coupons Accepted; 
Holiday Market: 11/22.","www.braintreefarmersmarket.org","","42.363653","-71.118515"
"New Entry Mobile Market","50 Walnut Ave. ","Revere","MA","02151","Dates and Time: Thursday, 2:30 pm - 3:30 pm, June 12 to October 30. ","nesfp.org","(978) 654-6745","42.339435","-71.041063"
"Farmer Dave's - CSA Pick-Up","60 Lowell Street","Arlington","MA","02474","CSA Pick-up Days: Friday, 2:00 pm - 6:00 pm.","farmerdaves.csaware.com/store/","978-349-1952","42.369344","-71.118027"
"Revere Beach Farmers Market","Beaver Street between Ocean Ave and Revere Beach Blvd. ","Revere","MA","02151","Dates & Time: July 25 to September 26; Saturday, 11:00 am - 3:00 pm: WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 

","www.revere.org/departments/public-health-division/healthy-living/revere-farmers-market  ","","42.360401","-71.117864"
"Brookfield Farm - CSA Pick-Up","70 Hancock Street","Bedford","MA","01730","CSA Pick-up Days: Thursday, Starting in June. ","www.brookfieldfarm.org/csa/","413-253-7991","42.288816","-71.093574"
"Norwood Farmers Market","Nahatan and Washington Streets-Town Common","Norwood","MA","02062","Dates & Times: June 17 to October 14; Tuesday, 2:00 pm - 6:00pm; WIC & Senior Coupons Accepted; EBT-SNAP Accepted.","","","42.327492","-71.09245"
"Capeway Florists","249 North Street","Weymouth","MA","02191","","","781 337-1470","42.27819","-71.097283"
"Furlong's Candies & Ice Cream","23 Cottage Street","Norwood","MA","02062","","www.furlongscandies.com","(781) 762-4124","42.332512","-71.056183"
"Weymouth Farmers Market","46 Broad Street","Weymouth","MA","02190","Tufts Library, Weston Park; Dates & Time: Every other Wednesday, 4:00 pm - 7:00 pm; June 11 to October 11; WIC & Senior Coupons Accepted; EBT-SNAP Accepted. 
","www.weymouthfarmersmarket.com/","","42.377479","-71.034772"
"Lexington Community Farm","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy organic produce, premium food, sustainable farming, and nature. Farm store, year-round CSA offerings including veggies, fruit, mushrooms, eggs and flowers, hands-on education classes for children and adults, volunteer programs. 
CSA Pickup(s): On Farm.


","www.lexfarm.org","() -","42.317097","-71.087982"
"Lexington Community Farm CSA","52 Lowell Street","Lexington","MA","02420","Community-based farm where area residents come to learn about and enjoy organic produce, premium food, sustainable farming, and nature. Farm store, year-round CSA offerings including veggies, fruit, mushrooms, eggs and flowers, hands-on education classes for children and adults, volunteer programs. 
CSA Pickup(s): On Farm.

","www.lexfarm.org","() -","42.359715","-71.128763"
"Wilson Farm","10 Pleasant Street","Lexington","MA","02421","Family owned and operated for 140-years and open year-round. Awarded multiple “Best of Boston” titles. Offer the freshest local produce, flowers, plants, gourmet baked goods, master-chef prepared meals and more. Offers 3 CSA shares that include produce, cut flowers, and locally sourced fish available for pickup. “Pick Your Own Tulips” in the Spring!

CSA Products Offered: Produce, Flowers, Fish
Pickup(s): On Farm","WilsonFarm.com","(781) 862-3900","42.37139","-71.033504"
"Wright-Locke Farm","78-82 Ridge Street","Winchester","MA","01890","A historic certified organic farm retailing via a contactless online sales platform, farmers markets, and a CSA (veg, flowers, & herbs) with a PYO raspberry and flower operation and farm stand when raspberries are in season operating on the traditional territory of the Massa-adchu-es-et and Pawtucket peoples. Offer educational classes for kids and adults and tours for school groups. An entrance point to 130 acres of trails in adjacent conservation land. Monthly events welcoming the community.","www.wlfarm.org","(781) 729-8775","42.367235","-71.053588"
"Lexington Winter Farmers' Market","739 Massachusetts Ave.-Waldorf School of Lexington (Back entrance)","Lexington","MA","02420","Dates & Times: 2nd Saturdays, 11:00 am - 2:00 pm; January 3 to April 11; EBT-SNAP Accepted.","www.lexingtonfarmersmarket.org","","42.37314","-71.030045"
"Powisset Farm","37 Powisset Street","Dover","MA","02030","Powisset Farm is a property of the Trustees of Reservations. Our farm began in 2007. We operate a 250-person CSA, do a small amount of restaurant sales, as well as weekly donations to local food pantries. We also have volunteer opportunities, educational workshops for children and adults, school tours, cooking classes, walks and hikes, farm dinners, 4H programs for kids and opportunities to volunteer.

CSA Products offered: Vegetables, Fruit, Flowers
Pickup(s): On Farm, Tuesday, 2:00 pm - 6:00 pm; Thursday, 10:00 am - 6:00 pm; Saturday, 10:00 am - 4:00 pm
June to December","www.thetrustees.org/program/powisset-farm-stand","(505) 785-0339","42.28857","-71.086931"
"Wagon Wheel Farm Stand","927 Waltham Street","Lexington","MA","02421","Farmstand, deli, garden center, much and lawn loam deliveries (local), and landscaping","www.wagonwheelfarmstand.com","(781) 862-2112","42.374364","-71.034207"
"Pizzi Farm Ice Cream","495 Lincoln Street","Waltham","MA","02451","","www.pizzifarm.com","(781) 891-1032","42.359756","-71.063835"
"Allston Fresh Market 1","399 Tremont St.","ALLSTON","MA","02134","Wednesday, 10:00 am - 2:00 pm, Year-Round; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.356872","-71.118222"
"Brighton Fresh Market 2","756 American Legion Hwy.","BRIGHTON","MA","02135","Friday, 2:00 pm - 6:00 pm, July to October; WIC, HIP & SNAP-EBT Accepted.","","","42.343017","-71.138969"
"Mattapan Fresh Market 3","441 Morton St.","MATTAPAN","MA","02126","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.288767","-71.08881"
"West Roxbury Growers Market 4","407 Dudley St.","WEST ROXBURY","MA","02132","Wednesday, 10:00 am - 2:00 pm, Year-Round; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.279107","-71.164578"
"Fenway Growers Market 5","356 Blue Hill Ave.","FENWAY","MA","02115","Sunday, 11:00 am - 3:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.346143","-71.098953"
"Brighton Mobile Market 6","581 Washington St.","BRIGHTON","MA","02135","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted with select vendors.","","","42.359212","-71.140582"
"South Boston Farm Stand 7","541 Boylston St.","SOUTH BOSTON","MA","02127","Sunday, 11:00 am - 3:00 pm, Year-Round; Cash only.","","","42.349481","-71.051765"
"Mattapan Growers Market 8","985 Boylston St.","MATTAPAN","MA","02126","Wednesday, 10:00 am - 2:00 pm, Year-Round; Cash only.","","","42.285218","-71.085308"
"South End Farmers Market 9","686 Centre St.","SOUTH END","MA","02118","Tuesday, 12:00 pm - 6:00 pm, June to November; SNAP-EBT Accepted.","","","42.345881","-71.06029"
"Allston Mobile Market 10","93 Boylston St.","ALLSTON","MA","02134","Friday, 2:00 pm - 6:00 pm, July to October; SNAP-EBT Accepted.","","","42.354972","-71.120787"
"Allston Fresh Market 11","347 Centre St.","ALLSTON","MA","02134","Thursday, 3:00 pm - 7:00 pm, June to October; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.368599","-71.114371"
"Charlestown Community Market 12","226 Cummins Hwy.","CHARLESTOWN","MA","02129","Sunday, 11:00 am - 3:00 pm, Year-Round; Cash only.","","","42.384052","-71.066926"
"Hyde Park Farmers Market 13","497 Boylston St.","HYDE PARK","MA","02136","Wednesday, 10:00 am - 2:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.260321","-71.130792"
"Allston Farmers Market 14","137 Blue Hill Ave.","ALLSTON","MA","02134","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted with select vendors.","","","42.355534","-71.128702"
"Roxbury Fresh Market 15","956 Tremont St.","ROXBURY","MA","02119","Saturday, 9:00 am - 1:00 pm, May to October; Cash only.","","","42.337363","-71.07777"
"Dorchester Community Market 16","888 Dudley St.","DORCHESTER","MA","02121","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.301522","-71.076999"
"West Roxbury Farm Stand 17","58 Harvard St.","WEST ROXBURY","MA","02132","Thursday, 3:00 pm - 7:00 pm, June to October; Cash only.","","","42.276862","-71.153177"
"Allston Community Market 18","434 Dudley St.","ALLSTON","MA","02134","Sunday, 11:00 am - 3:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.355662","-71.131223"
"East Boston Mobile Market 19","748 Dudley St.","EAST BOSTON","MA","02128","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; Cash only.","","","42.368744","-71.032536"
"Mattapan Community Market 20","679 Morton St.","MATTAPAN","MA","02126","Tuesday, 12:00 pm - 6:00 pm, June to November; SNAP-EBT Accepted with select vendors.","","","42.278435","-71.088433"
"Charlestown Mobile Market 21","738 Tremont St.","CHARLESTOWN","MA","02129","Saturday, 9:00 am - 1:00 pm, May to October; Cash only.","","","42.382727","-71.067758"
"South Boston Community Market 22","441 Boylston St.","SOUTH BOSTON","MA","02127","Tuesday, 12:00 pm - 6:00 pm, June to November; WIC, HIP & SNAP-EBT Accepted.","","","42.337175","-71.045873"
"East Boston Fresh Market 23","817 Cummins Hwy.","EAST BOSTON","MA","02128","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted with select vendors.","","","42.372357","-71.042664"
"Charlestown Farm Stand 24","856 Hyde Park Ave.","CHARLESTOWN","MA","02129","Saturday, 9:00 am - 1:00 pm, May to October; Cash only.","","","42.381408","-71.058323"
"Fenway Mobile Market 25","692 Morton St.","FENWAY","MA","02115","Wednesday, 10:00 am - 2:00 pm, Year-Round; Cash only.","","","42.343763","-71.102642"
"Jamaica Plain Growers Market 26","693 Harvard St.","JAMAICA PLAIN","MA","02130","Saturday, 9:00 am - 1:00 pm, May to October; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.325844","-71.081579"
"Roslindale Growers Market 27","665 Columbus Ave.","ROSLINDALE","MA","02131","Thursday, 3:00 pm - 7:00 pm, June to October; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.282348","-71.120488"
"Charlestown Farmers Market 28","419 Washington St.","CHARLESTOWN","MA","02129","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.372845","-71.059802"
"Charlestown Fresh Market 29","775 Centre St.","CHARLESTOWN","MA","02129","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; Cash only.","","","42.385996","-71.06445"
"West Roxbury Mobile Market 30","766 American Legion Hwy.","WEST ROXBURY","MA","02132","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.282068","-71.153978"
"West Roxbury Community Market 31","793 Hyde Park Ave.","WEST ROXBURY","MA","02132","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.288792","-71.153285"
"Dorchester Farmers Market 32","604 Washington St.","DORCHESTER","MA","02121","Thursday, 3:00 pm - 7:00 pm, June to October; SNAP-EBT Accepted with select vendors.","","","42.299146","-71.06717"
"Hyde Park Community Market 33","612 Hyde Park Ave.","HYDE PARK","MA","02136","Wednesday, 10:00 am - 2:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.264153","-71.119215"
"Allston Community Market 34","818 Centre St.","ALLSTON","MA","02134","Thursday, 3:00 pm - 7:00 pm, June to October; SNAP-EBT Accepted with select vendors.","","","42.354712","-71.129548"
"South Boston Growers Market 35","898 Dudley St.","SOUTH BOSTON","MA","02127","Friday, 2:00 pm - 6:00 pm, July to October; Cash only.","","","42.339427","-71.041022"
"Roxbury Farm Stand 36","378 Columbus Ave.","ROXBURY","MA","02119","Saturday, 9:00 am - 1:00 pm, May to October; Cash only.","","","42.333308","-71.076984"
"Allston Mobile Market 37","198 Dudley St.","ALLSTON","MA","02134","Sunday, 11:00 am - 3:00 pm, Year-Round; Cash only.","","","42.36437","-71.114252"
"South End Fresh Market 38","255 Cummins Hwy.","SOUTH END","MA","02118","Tuesday, 12:00 pm - 6:00 pm, June to November; SNAP-EBT Accepted.","","","42.348735","-71.063706"
"East Boston Farmers Market 39","680 Morton St.","EAST BOSTON","MA","02128","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.369556","-71.047684"
"East Boston Farm Stand 40","433 Columbus Ave.","EAST BOSTON","MA","02128","Wednesday, 10:00 am - 2:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.38116","-71.040749"
"Jamaica Plain Farm Stand 41","360 VFW Pkwy.","JAMAICA PLAIN","MA","02130","Sunday, 11:00 am - 3:00 pm, Year-Round; SNAP-EBT Accepted with select vendors.","","","42.312653","-71.085697"
"Hyde Park Farm Stand 42","803 American Legion Hwy.","HYDE PARK","MA","02136","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.248409","-71.130407"
"Brighton Farmers Market 43","682 Harvard St.","BRIGHTON","MA","02135","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.355361","-71.147074"
"East Boston Fresh Market 44","678 Dudley St.","EAST BOSTON","MA","02128","Tuesday, 12:00 pm - 6:00 pm, June to November; SNAP-EBT Accepted.","","","42.377645","-71.033049"
"Roxbury Farmers Market 45","568 Blue Hill Ave.","ROXBURY","MA","02119","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; WIC, HIP & SNAP-EBT Accepted.","","","42.334639","-71.090002"
"West Roxbury Farm Stand 46","811 Morton St.","WEST ROXBURY","MA","02132","Sunday, 11:00 am - 3:00 pm, Year-Round; WIC, HIP & SNAP-EBT Accepted.","","","42.28449","-71.1568"
"East Boston Community Market 47","801 Washington St.","EAST BOSTON","MA","02128","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; Cash only.","","","42.367984","-71.044668"
"Dorchester Growers Market 48","160 Cummins Hwy.","DORCHESTER","MA","02121","Sunday, 11:00 am - 3:00 pm, Year-Round; SNAP-EBT Accepted.","","","42.29666","-71.060697"
"Roslindale Farm Stand 49","109 Warren St.","ROSLINDALE","MA","02131","Sunday, 11:00 am - 3:00 pm, Year-Round; Cash only.","","","42.288194","-71.125156"
"Mission Hill Farm Stand 50","92 Boylston St.","MISSION HILL","MA","02120","Saturday & Sunday, 10:00 am - 2:00 pm, June to November; WIC & Senior Coupons Accepted; SNAP-EBT Accepted.","","","42.336133","-71.102484"
"East Boston Fresh Market 51","613 Washington St.","EAST BOSTON","MA","02128","Thursday, 3:00 pm - 7:00 pm, June to October; SNAP-EBT Accepted.","","","42.370011","-71.045041"
"Jamaica Plain Fresh Market 52","912 Columbus Ave.","JAMAICA PLAIN","MA","02130","Saturday, 9:00 am - 1:00 pm, May to October; SNAP-EBT Accepted with select vendors.","","","42.312025","-71.085905"
"Dorchester Farm Stand 53","51 Harvard St.","DORCHESTER","MA","02121","Sunday, 11:00 am - 3:00 pm, Year-Round; SNAP-EBT Accepted with select vendors.","","","42.307738","-71.065248"
